date,year,month,incidence,region,country,iso3,measles_suspect,measles_clinical,measles_epi_linked,measles_lab_confirmed,measles_total,observed_incidence,estimated_incidence
2019-01-01,2019,1,527,AFR,Democratic Republic of the Congo,COD,527,0,505,11,516,527,9413.124476163955
2019-02-01,2019,2,1357,AFR,Democratic Republic of the Congo,COD,1357,4,1104,128,1236,1357,19781.285689855213
2019-03-01,2019,3,2743,AFR,Democratic Republic of the Congo,COD,2743,10,2136,301,2447,2743,8595.62396473649
2019-04-01,2019,4,2285,AFR,Democratic Republic of the Congo,COD,2285,5,1922,168,2095,2285,1468.9387649511118
2019-05-01,2019,5,1140,AFR,Democratic Republic of the Congo,COD,1140,9,644,298,951,1140,150.86581497262523
2019-06-01,2019,6,1115,AFR,Democratic Republic of the Congo,COD,1115,7,628,328,963,1115,11.865145466093963
2019-07-01,2019,7,1319,AFR,Democratic Republic of the Congo,COD,1319,13,730,360,1103,1319,0.8133512301574228
2019-08-01,2019,8,1390,AFR,Democratic Republic of the Congo,COD,1390,11,801,388,1200,1390,0.05197544003021903
2019-09-01,2019,9,1509,AFR,Democratic Republic of the Congo,COD,1509,7,1007,353,1367,1509,0.0032048339635366574
2019-10-01,2019,10,2351,AFR,Democratic Republic of the Congo,COD,2351,8,2008,192,2208,2351,1.9406380306463689e-4
2019-11-01,2019,11,2779,AFR,Democratic Republic of the Congo,COD,2779,5,2545,108,2658,2779,1.1640222510322928e-5
2019-12-01,2019,12,1830,AFR,Democratic Republic of the Congo,COD,1830,3,1583,137,1723,1830,6.949849193915725e-7
2020-01-01,2020,1,6833,AFR,Democratic Republic of the Congo,COD,6833,4,6515,171,6690,6833,4.1400198824703693e-8
2020-02-01,2020,2,5170,AFR,Democratic Republic of the Congo,COD,5170,13,4424,352,4789,5170,2.5320332497358322e-9
2020-03-01,2020,3,2323,AFR,Democratic Republic of the Congo,COD,2323,10,1299,414,1723,2323,1.5279510989785194e-10
2020-04-01,2020,4,878,AFR,Democratic Republic of the Congo,COD,878,5,403,150,558,878,1e-6
2020-05-01,2020,5,487,AFR,Democratic Republic of the Congo,COD,487,8,114,109,231,487,1e-6
2020-06-01,2020,6,257,AFR,Democratic Republic of the Congo,COD,257,10,3,85,98,257,1e-6
2020-07-01,2020,7,253,AFR,Democratic Republic of the Congo,COD,253,6,1,101,108,253,1e-6
2020-08-01,2020,8,170,AFR,Democratic Republic of the Congo,COD,170,3,0,44,47,170,1e-6
2020-09-01,2020,9,177,AFR,Democratic Republic of the Congo,COD,177,10,0,42,52,177,1.4551915228366852e-11
2020-10-01,2020,10,169,AFR,Democratic Republic of the Congo,COD,169,4,0,44,48,169,1e-6
2020-11-01,2020,11,185,AFR,Democratic Republic of the Congo,COD,185,6,2,73,81,185,1e-6
2020-12-01,2020,12,281,AFR,Democratic Republic of the Congo,COD,281,12,20,120,152,281,1e-6
