date,observed_incidence,median_posterior_onset,i_lower,i_upper
2019-01-01,527,527,-1,-1
2019-02-01,1357,1357,-1,-1
2019-03-01,2743,2743,-1,-1
2019-04-01,2285,2285,-1,-1
2019-05-01,1140,1140,-1,-1
2019-06-01,1115,1115,-1,-1
2019-07-01,1319,1319,-1,-1
2019-08-01,1390,1390,-1,-1
2019-09-01,1509,1509,-1,-1
2019-10-01,2351,2351,-1,-1
2019-11-01,2779,2779,-1,-1
2019-12-01,1830,1830,-1,-1
2020-01-01,6833,6833,-1,-1
2020-02-01,5170,5170,0,0
2020-03-01,2323,2323,0,0
2020-04-01,878,878,0,0
2020-05-01,487,487,0,0
2020-06-01,257,257,0,0
2020-07-01,253,253,0,0
2020-08-01,170,170,0,0
2020-09-01,177,177,0,0
2020-10-01,169,169,0,0
2020-11-01,185,185,0,0
2020-12-01,281,281,0,0
