date,observed_incidence,inc_median,inc_lower,inc_upper
2019-10-01,2351,1274.8878670317554,1272.0635240735419,1277.8305357885122
2019-11-01,2779,1536.8092613860326,1530.3193639254698,1543.5856251457512
2019-12-01,1830,1755.337859942196,1744.4283464904424,1766.7526492740385
2020-01-01,6833,1900.3110680544748,1884.7456759855318,1916.63082761202
2020-02-01,5170,1950.5178155601848,1930.7199376244428,1971.317405806877
2020-03-01,2323,1898.8148052993386,1875.8549835438805,1922.9849588616546
2020-04-01,878,1753.7901080652705,1729.2105313855127,1779.71713021513
2020-05-01,487,1537.4415421073852,1512.9657113047742,1563.3103018581885
2020-06-01,257,1279.728995690391,1256.9430403109563,1303.8590237177248
2020-07-01,253,1011.8513611065468,991.9472430954108,1032.97060262818
2020-08-01,170,760.297945188164,743.9390124765281,777.6890587949919
2020-09-01,177,543.145571075185,530.4678309832609,556.6489804843571
2020-10-01,169,369.0783889820108,359.7978669054341,378.9820354782799
2020-11-01,185,238.6729385078327,232.2460933647715,245.544152491561
2020-12-01,281,146.95686490303777,142.7410066690459,151.47257574535848
