sample,beta,theta,date,new_infections,S,I,R,V
1,2.9020748825389355,0.05944582398978873,2019-10-01,1273.5195135882768,31658521.806074288,1402.234281349149,50400968.41856557,1939107.541078789
1,2.9020748825389355,0.05944582398978873,2019-11-01,1533.6632888795757,29829866.625836413,1698.1722454362286,50402206.143890366,3766229.0580277843
1,2.9020748825389355,0.05944582398978873,2019-12-01,1750.0467027131647,28106533.003828328,1949.2748544321444,50403705.087984085,5487812.633333156
1,2.9020748825389355,0.05944582398978873,2020-01-01,1892.7578803337426,26482516.14512284,2121.4451807442138,50405425.67553811,7109936.734158311
1,2.9020748825389355,0.05944582398978873,2020-02-01,1940.9058663406872,24952178.70299058,2189.7920458602657,50407298.23453933,8638333.270424234
1,2.9020748825389355,0.05944582398978873,2020-03-01,1887.6620570755613,23510215.509856652,2144.5666338157107,50409231.12200845,10078408.801501086
1,2.9020748825389355,0.05944582398978873,2020-04-01,1741.8445521695041,22151618.759402808,1993.4433212823176,50411124.08987315,11435263.707402762
1,2.9020748825389355,0.05944582398978873,2020-05-01,1525.5404720709516,20871647.57581198,1759.4095801799465,50412883.66408633,12713709.35052152
1,2.9020748825389355,0.05944582398978873,2020-06-01,1268.6441304545767,19665804.801103342,1475.0565952195238,50414436.661201745,13918283.481099702
1,2.9020748825389355,0.05944582398978873,2020-07-01,1002.1637054001317,18529821.815478437,1175.216115093111,50415738.66538727,15053264.303019207
1,2.9020748825389355,0.05944582398978873,2020-08-01,752.3319277091351,17459650.123048697,890.2073023123837,50416776.00612776,16122683.663521238
1,2.9020748825389355,0.05944582398978873,2020-09-01,536.969154481915,16451457.060105823,641.4075328402164,50417561.77505171,17130339.75730963
1,2.9020748825389355,0.05944582398978873,2020-10-01,364.5549006493326,15501622.679551013,439.8042975287175,50418127.93318767,18079809.58296379
1,2.9020748825389355,0.05944582398978873,2020-11-01,235.53890908340162,14606735.504064323,287.13638251413846,50418516.14001177,18974461.219541397
1,2.9020748825389355,0.05944582398978873,2020-12-01,144.90005957943316,13763585.965464164,178.58666053131168,50418769.58979333,19817465.858081978
2,2.9020748825389355,0.05944582398978873,2019-10-01,1273.5195135882768,31658521.806074288,1402.234281349149,50400968.41856557,1939107.541078789
2,2.9020748825389355,0.05944582398978873,2019-11-01,1533.6632888795757,29829866.625836413,1698.1722454362286,50402206.143890366,3766229.0580277843
2,2.9020748825389355,0.05944582398978873,2019-12-01,1750.0467027131647,28106533.003828328,1949.2748544321444,50403705.087984085,5487812.633333156
2,2.9020748825389355,0.05944582398978873,2020-01-01,1892.7578803337426,26482516.14512284,2121.4451807442138,50405425.67553811,7109936.734158311
2,2.9020748825389355,0.05944582398978873,2020-02-01,1940.9058663406872,24952178.70299058,2189.7920458602657,50407298.23453933,8638333.270424234
2,2.9020748825389355,0.05944582398978873,2020-03-01,1887.6620570755613,23510215.509856652,2144.5666338157107,50409231.12200845,10078408.801501086
2,2.9020748825389355,0.05944582398978873,2020-04-01,1741.8445521695041,22151618.759402808,1993.4433212823176,50411124.08987315,11435263.707402762
2,2.9020748825389355,0.05944582398978873,2020-05-01,1525.5404720709516,20871647.57581198,1759.4095801799465,50412883.66408633,12713709.35052152
2,2.9020748825389355,0.05944582398978873,2020-06-01,1268.6441304545767,19665804.801103342,1475.0565952195238,50414436.661201745,13918283.481099702
2,2.9020748825389355,0.05944582398978873,2020-07-01,1002.1637054001317,18529821.815478437,1175.216115093111,50415738.66538727,15053264.303019207
2,2.9020748825389355,0.05944582398978873,2020-08-01,752.3319277091351,17459650.123048697,890.2073023123837,50416776.00612776,16122683.663521238
2,2.9020748825389355,0.05944582398978873,2020-09-01,536.969154481915,16451457.060105823,641.4075328402164,50417561.77505171,17130339.75730963
