sample,beta,theta,date,new_infections,S,I,R,V
1,4.0135166798206825,0.15486149450917416,2019-10-01,1761.241497102191,28776834.837860912,1889.9562648630633,50400968.41856557,4820306.787308646
1,4.0135166798206825,0.15486149450917416,2019-11-01,2598.489438721016,24645733.318526603,2820.2175316693556,50402636.646737486,8948809.817204233
1,4.0135166798206825,0.15486149450917416,2019-12-01,3320.7859184117265,21106582.92338147,3651.6514874315612,50405125.998700134,12484639.426430957
1,4.0135166798206825,0.15486149450917416,2020-01-01,3682.265932960574,18074819.492827967,4110.674640332876,50408349.241480194,15512720.5910515
1,4.0135166798206825,0.15486149450917416,2020-02-01,3549.6882256540625,15478144.206828859,4031.9491465427,50411977.65519964,18105846.188824955
1,4.0135166798206825,0.15486149450917416,2020-03-01,2981.521110188187,13254572.21372624,3454.5460217950026,50415536.57943457,20326436.660817385
1,4.0135166798206825,0.15486149450917416,2020-04-01,2187.5935948247698,11350801.563736936,2592.8780533359704,50418585.84099786,22228019.71721186
1,4.0135166798206825,0.15486149450917416,2020-05-01,1406.1365843092324,9720939.104152966,1710.330875310693,50420874.524760194,23856476.04021152
1,4.0135166798206825,0.15486149450917416,2020-06-01,794.3582299696109,8325518.590160926,995.0128220063114,50422384.20104347,25251102.195973594
1,4.0135166798206825,0.15486149450917416,2020-07-01,395.7996763578354,7130692.307820464,512.5337508887029,50423262.47979095,26445532.6786377
1,4.0135166798206825,0.15486149450917416,2020-08-01,174.62026170439407,6107504.386618597,234.75029395381506,50423714.88350959,27468545.97957786
1,4.0135166798206825,0.15486149450917416,2020-09-01,68.50358229417405,5231215.461043229,96.04429102121588,50423922.09309482,28344766.401570935
1,4.0135166798206825,0.15486149450917416,2020-10-01,24.005953062417138,4480688.871931198,35.27378919313972,50424006.86954971,29095268.984729905
1,4.0135166798206825,0.15486149450917416,2020-11-01,7.551658182730889,3837853.931923503,11.689949715854436,50424038.005047366,29738096.373079415
1,4.0135166798206825,0.15486149450917416,2020-12-01,2.14361481264841,3287249.483520237,3.515069964996176,50424048.32354193,30288698.677867867
2,4.0135166798206825,0.15486149450917416,2019-10-01,1761.241497102191,28776834.837860912,1889.9562648630633,50400968.41856557,4820306.787308646
2,4.0135166798206825,0.15486149450917416,2019-11-01,2598.489438721016,24645733.318526603,2820.2175316693556,50402636.646737486,8948809.817204233
2,4.0135166798206825,0.15486149450917416,2019-12-01,3320.7859184117265,21106582.92338147,3651.6514874315612,50405125.998700134,12484639.426430957
2,4.0135166798206825,0.15486149450917416,2020-01-01,3682.265932960574,18074819.492827967,4110.674640332876,50408349.241480194,15512720.5910515
2,4.0135166798206825,0.15486149450917416,2020-02-01,3549.6882256540625,15478144.206828859,4031.9491465427,50411977.65519964,18105846.188824955
2,4.0135166798206825,0.15486149450917416,2020-03-01,2981.521110188187,13254572.21372624,3454.5460217950026,50415536.57943457,20326436.660817385
2,4.0135166798206825,0.15486149450917416,2020-04-01,2187.5935948247698,11350801.563736936,2592.8780533359704,50418585.84099786,22228019.71721186
2,4.0135166798206825,0.15486149450917416,2020-05-01,1406.1365843092324,9720939.104152966,1710.330875310693,50420874.524760194,23856476.04021152
2,4.0135166798206825,0.15486149450917416,2020-06-01,794.3582299696109,8325518.590160926,995.0128220063114,50422384.20104347,25251102.195973594
2,4.0135166798206825,0.15486149450917416,2020-07-01,395.7996763578354,7130692.307820464,512.5337508887029,50423262.47979095,26445532.6786377
2,4.0135166798206825,0.15486149450917416,2020-08-01,174.62026170439407,6107504.386618597,234.75029395381506,50423714.88350959,27468545.97957786
2,4.0135166798206825,0.15486149450917416,2020-09-01,68.50358229417405,5231215.461043229,96.04429102121588,50423922.09309482,28344766.401570935
2,4.0135166798206825,0.15486149450917416,2020-10-01,24.005953062417138,4480688.871931198,35.27378919313972,50424006.86954971,29095268.984729905
2,4.0135166798206825,0.15486149450917416,2020-11-01,7.551658182730889,3837853.931923503,11.689949715854436,50424038.005047366,29738096.373079415
2,4.0135166798206825,0.15486149450917416,2020-12-01,2.14361481264841,3287249.483520237,3.515069964996176,50424048.32354193,30288698.677867867
3,4.0135166798206825,0.15486149450917416,2019-10-01,1761.241497102191,28776834.837860912,1889.9562648630633,50400968.41856557,4820306.787308646
3,4.0135166798206825,0.15486149450917416,2019-11-01,2598.489438721016,24645733.318526603,2820.2175316693556,50402636.646737486,8948809.817204233
3,4.0135166798206825,0.15486149450917416,2019-12-01,3320.7859184117265,21106582.92338147,3651.6514874315612,50405125.998700134,12484639.426430957
3,4.0135166798206825,0.15486149450917416,2020-01-01,3682.265932960574,18074819.492827967,4110.674640332876,50408349.241480194,15512720.5910515
3,4.0135166798206825,0.15486149450917416,2020-02-01,3549.6882256540625,15478144.206828859,4031.9491465427,50411977.65519964,18105846.188824955
3,4.0135166798206825,0.15486149450917416,2020-03-01,2981.521110188187,13254572.21372624,3454.5460217950026,50415536.57943457,20326436.660817385
3,4.0135166798206825,0.15486149450917416,2020-04-01,2187.5935948247698,11350801.563736936,2592.8780533359704,50418585.84099786,22228019.71721186
3,4.0135166798206825,0.15486149450917416,2020-05-01,1406.1365843092324,9720939.104152966,1710.330875310693,50420874.524760194,23856476.04021152
3,4.0135166798206825,0.15486149450917416,2020-06-01,794.3582299696109,8325518.590160926,995.0128220063114,50422384.20104347,25251102.195973594
3,4.0135166798206825,0.15486149450917416,2020-07-01,395.7996763578354,7130692.307820464,512.5337508887029,50423262.47979095,26445532.6786377
3,4.0135166798206825,0.15486149450917416,2020-08-01,174.62026170439407,6107504.386618597,234.75029395381506,50423714.88350959,27468545.97957786
3,4.0135166798206825,0.15486149450917416,2020-09-01,68.50358229417405,5231215.461043229,96.04429102121588,50423922.09309482,28344766.401570935
3,4.0135166798206825,0.15486149450917416,2020-10-01,24.005953062417138,4480688.871931198,35.27378919313972,50424006.86954971,29095268.984729905
3,4.0135166798206825,0.15486149450917416,2020-11-01,7.551658182730889,3837853.931923503,11.689949715854436,50424038.005047366,29738096.373079415
3,4.0135166798206825,0.15486149450917416,2020-12-01,2.14361481264841,3287249.483520237,3.515069964996176,50424048.32354193,30288698.677867867
4,4.0168803622876474,0.15486149450917416,2019-10-01,1762.71753475477,28776833.361823253,1891.432302515642,50400968.41856557,4820306.787308646
4,4.0168803622876474,0.15486149450917416,2019-11-01,2602.6979752431703,24645727.84571393,2824.599235698034,50402637.94960763,8948809.605442725
4,4.0168803622876474,0.15486149450917416,2019-12-01,3328.7315044053034,21106570.290146414,3660.111131287855,50405131.16921645,12484638.429505832
4,4.0168803622876474,0.15486149450917416,2020-01-01,3693.8864863630665,18074797.051481687,4123.287672098042,50408361.879162,15512717.781684197
4,4.0168803622876474,0.15486149450917416,2020-02-01,3563.5582378323047,15478111.115044985,4047.2989090895517,50412001.42616284,18105840.159883067
4,4.0168803622876474,0.15486149450917416,2020-03-01,2995.3724053436586,13254530.018199567,3470.198138292215,50415573.89933898,20326425.884323142
4,4.0168803622876474,0.15486149450917416,2020-04-01,2199.3390354913154,11350753.676401302,2606.4597872575796,50418636.97672551,22228002.887085915
4,4.0168803622876474,0.15486149450917416,2020-05-01,1414.680195911341,9720889.543419614,1720.4678846105985,50420937.648824066,23856452.33987169
4,4.0168803622876474,0.15486149450917416,2020-06-01,799.7317244420657,8325470.766222989,1001.5755819565206,50422456.27285116,25251071.385343872
4,4.0168803622876474,0.15486149450917416,2020-07-01,398.74177600047426,7130648.402901342,516.2457880559771,50423340.34442107,26445495.00688952
